time: 2000000000
128 39 3000001
128 40 3000001
128 41 3000001
128 42 3000001
128 43 3000001
128 44 3000001
128 45 3000001
128 46 3000001
128 47 3000001
128 48 3000001
128 49 3000001
128 50 3000001
128 51 3000001
128 52 3000001
128 53 3000001
128 54 3000001
128 55 3000001
128 56 3000001
128 57 3000001
128 58 3000001
128 59 3000001
128 60 3000001
128 61 3000001
128 62 3000001
128 63 3000001
128 64 3000001
128 65 3000001
129 1 3000001
129 2 3000001
129 3 3000001
129 4 3000001
129 5 3000001
129 6 3000001
129 7 3000001
129 8 3000001
129 9 3000001
129 10 3000001
129 11 3000001
129 12 3000001
129 13 3000001
129 14 3000001
129 15 3000001
129 16 3000001
129 17 3000001
129 18 3000001
129 19 3000001
129 20 3000001
129 21 3000001
129 22 3000001
129 23 3000001
129 24 3000001
129 25 3000001
129 26 3000001
129 27 3000001
129 28 3000001
129 29 3000001
129 30 3000001
129 31 3000001
129 32 3000001
129 33 3000001
129 34 3000001
129 35 3000001
129 36 3000001
129 37 3000001
129 38 3000001
129 39 3000001
129 40 3000001
129 41 3000001
129 42 3000001
129 43 3000001
129 44 3000001
129 45 3000001
129 46 3000001
129 47 3000001
129 48 3000001
129 49 3000001
129 50 3000001
129 51 3000001
129 52 3000001
129 53 3000001
129 54 3000001
129 55 3000001
129 56 3000001
129 57 3000001
129 58 3000001
129 59 3000001
129 60 3000001
129 61 3000001
129 62 3000001
129 63 3000001
129 64 3000001
129 65 3000001
time: 2400000000
128 1 4000001
128 2 4000001
128 3 4000001
128 4 4000001
128 5 4000001
128 6 4000001
128 7 4000001
128 8 4000001
128 9 4000001
128 10 4000001
128 11 4000001
128 12 4000001
128 13 4000001
128 14 4000001
128 15 4000001
128 16 4000001
128 17 4000001
128 18 4000001
128 19 4000001
128 20 4000001
128 21 4000001
128 22 4000001
128 23 4000001
128 24 4000001
128 25 4000001
128 26 4000001
128 27 4000001
128 28 4000001
128 29 4000001
128 30 4000001
128 31 4000001
128 32 4000001
128 33 4000001
128 34 4000001
128 35 4000001
128 36 4000001
128 37 4000001
128 38 4000001
128 39 4000001
128 40 4000001
128 41 4000001
128 42 4000001
128 43 4000001
128 44 4000001
128 45 4000001
128 46 4000001
128 47 4000001
128 48 4000001
128 49 4000001
128 50 4000001
128 51 4000001
128 52 4000001
128 53 4000001
128 54 4000001
128 55 4000001
128 56 4000001
128 57 4000001
128 58 4000001
128 59 4000001
128 60 4000001
128 61 4000001
128 62 4000001
128 63 4000001
128 64 4000001
128 65 4000001
129 1 4000001
129 2 4000001
129 3 4000001
129 4 4000001
129 5 4000001
129 6 4000001
129 7 4000001
129 8 4000001
129 9 4000001
129 10 4000001
129 11 4000001
129 12 4000001
129 13 4000001
129 14 4000001
129 15 4000001
129 16 4000001
129 17 4000001
129 18 4000001
129 19 4000001
129 20 4000001
129 21 4000001
129 22 4000001
129 23 4000001
129 24 4000001
129 25 4000001
129 26 4000001
129 27 4000001
129 28 4000001
129 29 4000001
129 30 4000001
129 31 4000001
129 32 4000001
129 33 4000001
129 34 4000001
129 35 4000001
129 36 4000001
129 37 4000001
129 38 4000001
129 39 4000001
129 40 4000001
129 41 4000001
129 42 4000001
129 43 4000001
129 44 4000001
129 45 4000001
129 46 4000001
129 47 4000001
129 48 4000001
129 49 4000001
129 50 4000001
129 51 4000001
129 52 4000001
129 53 4000001
129 54 4000001
129 55 4000001
129 56 4000001
129 57 4000001
129 58 4000001
129 59 4000001
129 60 4000001
129 61 4000001
129 62 4000001
129 63 4000001
129 64 4000001
129 65 4000001
time: 2500000000
128 1 5000001
128 2 5000001
128 3 5000001
128 4 5000001
128 5 5000001
128 6 5000001
128 7 5000001
128 8 5000001
128 9 5000001
128 10 5000001
128 11 5000001
128 12 5000001
128 13 5000001
128 14 5000001
128 15 5000001
128 16 5000001
128 17 5000001
128 18 5000001
128 19 5000001
128 20 5000001
128 21 5000001
128 22 5000001
128 23 5000001
128 24 5000001
128 25 5000001
128 26 5000001
128 27 5000001
128 28 5000001
128 29 5000001
128 30 5000001
128 31 5000001
128 32 5000001
128 33 5000001
128 34 5000001
128 35 5000001
128 36 5000001
128 37 5000001
128 38 5000001
128 39 5000001
128 40 5000001
128 41 5000001
128 42 5000001
128 43 5000001
